time,missile_x,missile_y,missile_z,drone_x,drone_y,drone_z,bomb_x,bomb_y,bomb_z,cloud_x,cloud_y,cloud_z,is_shielded,shield_distance,projection_u
24.67,12635.72975525587,0.0,1263.572975525587,14839.6,0.0,1800.0,14839.6,0.0,-830.5596100000007,17188.0,0.0,1677.786,False,4571.076110811,-0.3598590378602503
24.68,12632.74464368524,0.0,1263.2744643685241,14838.4,0.0,1800.0,14838.4,0.0,-832.8307600000003,17188.0,0.0,1677.756,False,4574.073272763974,-0.36018003602069615
24.69,12629.759532114611,0.0,1262.9759532114613,14837.2,0.0,1800.0,14837.2,0.0,-835.1028900000006,17188.0,0.0,1677.726,False,4577.070434719036,-0.3605011858351299
24.7,12626.774420543981,0.0,1262.6774420543982,14836.0,0.0,1800.0,14836.0,0.0,-837.3760000000002,17188.0,0.0,1677.6960000000001,False,4580.067596676182,-0.36082248741102263
24.71,12623.789308973352,0.0,1262.378930897335,14834.8,0.0,1800.0,14834.8,0.0,-839.6500900000005,17188.0,0.0,1677.6660000000002,False,4583.064758635409,-0.36114394085594664
24.72,12620.804197402722,0.0,1262.0804197402722,14833.6,0.0,1800.0,14833.6,0.0,-841.9251599999998,17188.0,0.0,1677.6360000000002,False,4586.061920596711,-0.3614655462775762
24.73,12617.819085832092,0.0,1261.7819085832093,14832.4,0.0,1800.0,14832.4,0.0,-844.2012100000006,17188.0,0.0,1677.606,False,4589.059082560086,-0.36178730378368723
24.740000000000002,12614.833974261463,0.0,1261.483397426146,14831.2,0.0,1800.0,14831.2,0.0,-846.4782400000004,17188.0,0.0,1677.576,False,4592.056244525527,-0.3621092134821575
24.75,12611.848862690833,0.0,1261.184886269083,14830.0,0.0,1800.0,14830.0,0.0,-848.7562500000004,17188.0,0.0,1677.546,False,4595.053406493033,-0.3624312754809669
24.76,12608.863751120201,0.0,1260.8863751120202,14828.8,0.0,1800.0,14828.8,0.0,-851.0352400000006,17188.0,0.0,1677.516,False,4598.050568462601,-0.3627534898881975
24.77,12605.878639549572,0.0,1260.5878639549574,14827.6,0.0,1800.0,14827.6,0.0,-853.3152100000002,17188.0,0.0,1677.486,False,4601.047730434223,-0.36307585681203336
24.78,12602.893527978942,0.0,1260.289352797894,14826.4,0.0,1800.0,14826.4,0.0,-855.5961600000005,17188.0,0.0,1677.4560000000001,False,4604.044892407896,-0.3633983763607613
24.79,12599.908416408312,0.0,1259.9908416408311,14825.2,0.0,1800.0,14825.2,0.0,-857.8780900000002,17188.0,0.0,1677.4260000000002,False,4607.042054383618,-0.36372104864277033
24.8,12596.923304837681,0.0,1259.6923304837683,14824.0,0.0,1800.0,14824.0,0.0,-860.1610000000001,17188.0,0.0,1677.3960000000002,False,4610.039216361384,-0.3640438737665527
24.810000000000002,12593.938193267051,0.0,1259.3938193267052,14822.8,0.0,1800.0,14822.8,0.0,-862.4448900000007,17188.0,0.0,1677.366,False,4613.036378341189,-0.3643668518407022
24.82,12590.953081696422,0.0,1259.095308169642,14821.6,0.0,1800.0,14821.6,0.0,-864.7297600000002,17188.0,0.0,1677.336,False,4616.03354032303,-0.36468998297391686
24.830000000000002,12587.967970125792,0.0,1258.7967970125792,14820.4,0.0,1800.0,14820.4,0.0,-867.0156100000008,17188.0,0.0,1677.306,False,4619.030702306903,-0.36501326727499694
